,kB680m,kB730m,kC680m,kC730m
A600,-1.4493642638874398,3.047585251747502,1.3866471631066386,-1.534413864316897
500,-1.7248641178060686,3.6258581670335785,2.242803064211168,-2.4830049614591645
510,-1.6869634012183903,3.5466583255585844,1.9535031211943295,-2.1613982941303793
520,-1.653398528277245,3.4762591041739,1.678210074713731,-1.8558862817488322
530,-1.6210388832833251,3.4084948226449407,1.5237568407223379,-1.6845252855271358
540,-1.5874625355901755,3.3381927465838546,1.4433583696956225,-1.59553006963661
550,-1.5606507373871181,3.2819579161445565,1.4028373577575832,-1.5507586931561272
560,-1.527996105502324,3.2134128347215016,1.3713685504282305,-1.5161841030644254
570,-1.4975885079645908,3.1497057724894097,1.3798664845641924,-1.526126665850259
580,-1.4717916865240452,3.0956224380778337,1.4052251748929867,-1.554556935263661
590,-1.440134641565212,3.029132889534882,1.4298706968980974,-1.5822781982162994
600,-1.411752813753456,2.969582835577223,1.445634043202306,-1.6000065942567532
610,-1.384037730641927,2.911468923074099,1.463047103295294,-1.6195485847743185
620,-1.3605563405173797,2.8621376586609957,1.4843795673640277,-1.6433574397778496
630,-1.3335723487403808,2.805512319030407,1.4840427996616534,-1.6432293706028853
640,-1.3080840695937372,2.7520777575216173,1.5211352308897441,-1.6847468496995666
650,-1.2846377647522993,2.702884890748774,1.7369950236836782,-1.9244142270483053
660,-1.2582286418985407,2.647744488145868,1.8675612634270997,-2.0691306886899703
670,-1.2346559314328904,2.5981600179496125,2.1461931791802127,-2.377773725552741
680,-1.2102314106695728,2.5469688355017737,2.287385321199291,-2.5335007225393533
690,-1.187689485290876,2.499635291242833,1.8749099899767583,-2.0740293683047124
700,-1.1625792230998457,2.447070935998405,1.3813273712301783,-1.5264374159243739
710,-1.1429495209893457,2.405803038427589,1.2204857682061507,-1.3483689429450274
720,-1.1229953159479336,2.3640130101960857,1.1518882498639844,-1.2728336832744302
730,-1.0997515151538406,2.3152109156358707,1.1091564481604987,-1.2259349878405488
740,-1.081740217472006,2.2774734123168168,1.0862673977567687,-1.200826592420943
750,-1.061465289826889,2.234916141314456,1.065310380662529,-1.1778103647584537
