Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8,T1B_p680_730_560,T1C_p680_730_560,T2B_p680_730_560,T2C_p680_730_560,T3B_p680_730_560,T3C_p680_730_560,T4B_p680_730_560,T4C_p680_730_560,T5B_p680_730_560,T5C_p680_730_560,T6B_p680_730_560,T6C_p680_730_560,T7B_p680_730_560,T7C_p680_730_560,T8B_p680_730_560,T8C_p680_730_560
-0.002338044,0.03385901,0.007605349,0.031170286,0.014429032,0.023571314,0.026125804,0.019462848,-0.001506895,0.029564692,0.019812229,0.02309362,0.009547227,0.032372564,0.001489104,0.020698004,-0.006201841,0.031225079,-0.007422089,0.029100318,-0.004858919,0.02694148,-0.003453544,0.02671433,-0.003909842,0.028594073,-0.003902763,0.028224362,0.001559561,0.028312054,-0.008299299,0.031011244
-0.003499964,0.092115902,0.010450388,0.080426363,0.018766915,0.071916158,0.029240257,0.06042792,-0.001878639,0.091269599,0.020250098,0.067353252,0.008409044,0.089389471,0.003763489,0.087475855,-0.018172405,0.049094338,0.000516116,0.031588973,-0.013999879,0.043370549,-0.020046989,0.044556781,-0.008821632,0.036341629,-0.011099478,0.038233215,0.001345009,0.024882185,-0.00268709,0.015951081
-0.008936158,0.095813872,-0.00320754,0.090302993,0.01073355,0.079097277,0.02495394,0.065499253,-0.00932021,0.097624451,0.011548948,0.078155695,-0.004386618,0.093798101,-0.018027671,0.096920207,-0.005102882,0.017729819,-0.00109659,0.013372021,-0.01016912,0.026227186,-0.00328009,0.010334106,-0.002912316,0.020398025,-0.001985572,0.015899117,0.006414864,0.008877696,0.001438274,0.012692032
-0.007523977,0.09595389,-0.001313605,0.089582353,0.0110961,0.077596708,0.029865278,0.059944072,-0.007182081,0.095893624,0.010693436,0.079024283,-0.002807056,0.091699952,-0.010994992,0.099456178,0.00322914,0.01428229,-0.007140237,0.021695665,-0.004799927,0.023860527,-0.004307006,0.012748352,-0.006307872,0.022126269,0.003259819,0.01268019,0.00752313,0.009533988,-0.006438718,0.021643699
-0.004774196,0.092901554,0.003457012,0.08378843,0.02241516,0.068191081,0.036065111,0.055297718,-0.005567589,0.092603279,0.012002973,0.077388248,0.00510029,0.084054146,-0.009024132,0.094174989,0.002093842,0.007720957,0.000602292,0.01976854,0.002001835,0.012527229,-0.003675173,0.023654172,0.001249519,0.022551066,0.003098295,0.01379972,0.001550267,0.014160491,-0.011427249,0.040718739
0.001233488,0.086727344,0.010339294,0.077917116,0.021762064,0.068424805,0.034000359,0.05671925,0.002149186,0.086057885,0.019683125,0.070948878,0.006780243,0.081861962,-0.002105218,0.087293668,0.012491409,0.013473234,0.013695132,0.016460666,0.013204713,0.012805089,0.008511066,0.016475413,0.0068298,0.016476875,0.00385046,0.018420405,0.005096646,0.019189558,-0.002299484,0.046934255
0.000985777,0.087198441,0.009363596,0.080365558,0.020181958,0.067931073,0.035924801,0.054676082,0.001517541,0.086616668,0.019789047,0.070746563,0.003761771,0.084312806,0.018280504,0.071122647,-0.006128841,0.042049222,-0.00305166,0.042313581,-0.001461155,0.039734518,-0.008530475,0.043088528,-9.35E-05,0.041479168,0.006040874,0.035733134,0.004561249,0.032520024,0.003372785,0.036053803
-0.002055118,0.076454332,0.006904218,0.07357869,0.017040317,0.056305637,0.036642245,0.049996688,0.003458379,0.076036876,0.025248145,0.05690711,0.018669858,0.073462394,0.018593315,0.076105562,-0.004403866,0.032445607,0.004544889,0.018738161,0.010782936,0.022214189,0.01072646,0.010527376,-0.000615607,0.017520548,0.00388944,0.009064734,0.001866252,0.012291148,0.011226316,0.013690003
0.018719915,0.059462924,0.004878138,0.05816203,0.013964494,0.046572929,0.024343222,0.052586401,0.018706082,0.061540827,0.140096206,0.053091305,0.003101981,0.085890084,0.002614712,0.085051057,-0.003839198,0.039541445,0.015823379,0.000427909,0.011992778,0.002926746,0.031899046,0.002313894,0.007406406,0.00831201,0.002991018,0.012084781,0.00613773,0.016035879,0.003178374,0.024254142
0.019080995,0.062556818,0.003950563,0.083666796,0.021856874,0.065821305,0.028468975,0.044427594,-0.000687401,0.068435981,0.000167911,0.004872104,0.010302618,0.075947785,0.013385315,0.07438857,-0.001193335,0.018424782,0.010946976,0.006326903,0.008849539,0.006113048,0.002597314,0.003376462,0.003532236,0.005768486,0.007357006,-0.003744512,0.00055996,0.007342307,0.010391591,0.01338263
0.022119286,0.063769051,0.005454076,0.073433887,0.023653058,0.066141026,0.033960702,0.045057026,0.000477658,0.076154322,0.001955599,0.014128958,-0.013308884,0.08145524,0.000229411,0.082526407,-0.006534208,0.01931258,-0.007076694,0.033012768,-0.007576547,0.029850139,0.010655676,0.014224517,-0.010406171,0.031290339,0.005661607,-0.00300364,-0.007380737,0.019621405,0.000889965,0.019378048
0.027199846,0.063017508,0.007414064,0.080557043,0.042783365,0.049592001,0.044251975,0.040730564,0.04050346,0.054934061,0.028496542,0.058618823,0.020401186,0.081236031,0.015981862,0.075274966,0.006851034,0.015367734,-0.010171636,0.040994951,0.006717939,0.000363904,0.002283679,0.005122575,-0.000400913,0.006305904,0.008232951,0.001728452,0.02664309,-0.001234858,0.013249659,-0.004180935
